Gen,x0_0,x0_1,x1_0,x1_1,x2_0,x2_1,x3_0,x3_1,x4_0,x4_1,x5_0,x5_1,x6_0,x6_1,x7_0,x7_1,x8_0,x8_1,x9_0,x9_1,x10_0,x10_1,x11_0,x11_1,x12_0,x12_1,x13_0,x13_1,x14_0,x14_1,x15_0,x15_1,x16_0,x16_1,x17_0,x17_1,x18_0,x18_1,x19_0,x19_1,x20_0,x20_1,x21_0,x21_1,x22_0,x22_1,x23_0,x23_1,x24_0,x24_1,x25_0,x25_1,x26_0,x26_1,x27_0,x27_1,x28_0,x28_1,x29_0,x29_1,
283,0.000644,-0.001767,0.001429,0.000526,-0.001251,-0.001529,-0.000162,0.002971,-0.000162,0.002971,0.001246,0.002433,0.001246,0.002433,-0.000231,0.003349,0.002492,0.000222,0.002125,-0.003172,-0.002765,0.001256,-0.002765,0.001256,-0.002869,0.001400,-0.002869,0.001400,-0.002711,-0.002779,-0.003050,0.001097,0.003569,0.000568,0.003367,-0.002967,0.003367,-0.002967,-0.003316,-0.003658,-0.003316,-0.003658,-0.002826,0.004993,0.002920,-0.005047,0.001563,-0.006914,0.002512,0.006343,0.002512,0.006343,0.002530,0.006391,0.002530,0.006391,-0.004237,-0.001433,-0.004302,0.000745,
284,0.000053,-0.001596,-0.000402,0.001470,-0.001453,0.001549,0.000604,0.003166,-0.000099,0.003373,-0.001312,0.002839,0.001347,-0.003063,0.001347,-0.003063,-0.000417,0.005171,-0.002387,0.002905,-0.001800,-0.004216,-0.000509,-0.005339,0.002823,-0.002345,0.002823,-0.002345,0.003211,0.000546,-0.002182,-0.004983,-0.003526,-0.001025,0.003235,-0.002880,0.003346,0.002716,0.003346,0.002716,-0.001654,0.006179,-0.001654,0.006179,-0.001830,0.006088,-0.001830,0.006088,0.003797,0.000862,-0.003809,0.001378,0.003193,0.004353,0.003193,0.004353,-0.003595,-0.003248,-0.003425,-0.003940,
285,0.000154,-0.000098,-0.000293,0.000790,0.001024,0.000960,-0.000936,0.001842,-0.000936,0.001842,-0.001413,-0.000865,0.001649,-0.001947,0.001577,-0.002274,0.001662,0.002350,-0.000657,0.004763,-0.000657,0.004763,0.002706,-0.000713,0.002675,-0.003472,0.002586,0.003692,0.002586,0.003692,0.002251,0.004803,0.002251,0.004803,-0.002990,0.003505,-0.003594,-0.000499,-0.003615,-0.000340,-0.001265,-0.006856,0.003405,0.003665,-0.002479,-0.005677,-0.004209,-0.001031,-0.004279,0.001192,-0.004279,0.001192,0.000128,0.008338,0.000128,0.008338,0.002470,0.007041,-0.004337,0.002440,
286,0.000662,-0.000346,0.000730,0.001031,0.000730,0.001031,-0.000117,-0.001975,-0.001107,-0.000222,-0.001386,0.000109,-0.001386,0.000109,-0.001335,-0.000855,0.000238,0.002684,0.000922,-0.002124,-0.001408,0.001661,-0.002139,0.001063,-0.001992,-0.001886,-0.001415,0.003195,-0.001415,0.003195,-0.001022,0.004269,-0.002357,0.001725,-0.000646,0.004788,0.001139,-0.004898,0.002999,-0.000510,-0.002442,0.003567,0.002049,-0.004472,-0.002363,0.003896,-0.001593,0.005324,-0.001593,0.005324,-0.000614,-0.006155,0.000975,-0.006244,-0.001515,0.006405,-0.003460,-0.002677,-0.004012,-0.000484,
287,0.000974,-0.000401,-0.001062,-0.000334,-0.001062,-0.000334,-0.000206,0.002736,0.001769,-0.000065,0.001602,-0.001350,0.001602,-0.001350,-0.000105,-0.003525,-0.001825,0.000873,0.001239,0.003257,0.001239,0.003257,-0.001806,0.002312,-0.001907,0.001972,0.002082,-0.002263,0.000459,0.005123,0.002828,-0.000778,0.001960,0.004354,0.002966,-0.001503,0.002966,-0.001503,-0.002349,-0.003846,-0.000900,-0.006052,-0.000900,-0.006052,0.001346,-0.006709,-0.001565,-0.006841,0.002677,-0.005856,-0.004073,0.001621,-0.003454,0.004361,-0.001512,0.007308,0.003547,0.004398,0.003547,0.004398,
288,-0.000464,-0.000526,-0.000610,-0.000949,-0.000435,-0.001438,-0.001341,0.001108,0.000548,-0.002517,-0.001341,0.001108,0.000076,0.002773,0.000261,-0.002824,0.001537,0.000097,-0.001466,-0.002324,0.000229,-0.003649,-0.000132,-0.003855,0.001393,0.002969,0.000742,-0.003757,0.001500,-0.002993,-0.000391,-0.004511,0.002492,-0.000250,0.002748,-0.000766,-0.000516,0.005128,0.002866,0.000409,-0.002937,0.000107,-0.002937,0.000107,0.000269,0.005498,0.000269,0.005498,-0.002563,-0.003207,-0.000613,-0.005980,-0.000091,0.006306,-0.002229,-0.004740,-0.003495,0.000119,-0.003495,0.000119,
289,-0.000072,-0.000154,-0.000072,-0.000154,-0.000317,-0.000002,-0.001024,-0.001792,0.001431,-0.001342,0.002346,-0.001038,0.002346,-0.001038,0.002614,0.000955,0.002579,0.001423,0.001206,0.005251,0.000147,0.005688,0.002758,-0.002346,-0.000613,0.005606,0.002758,-0.002346,-0.000613,0.005606,0.000345,0.005900,-0.001831,0.005313,0.003545,-0.000112,0.003545,-0.000112,-0.003215,-0.002900,-0.001609,0.005985,-0.000655,0.006682,0.003292,-0.003478,-0.003005,-0.005619,0.000023,-0.008004,0.003200,0.005531,-0.004296,-0.001937,0.003903,-0.003929,0.000140,0.008702,-0.003190,0.006680,
290,-0.000381,0.000585,-0.001200,0.001264,-0.000730,-0.002497,0.000094,-0.003860,-0.002107,0.001140,-0.000677,0.004071,-0.000677,0.004071,0.001297,-0.004076,0.001297,-0.004076,0.002589,0.000904,-0.000524,0.004933,0.002664,-0.000752,-0.002750,-0.000395,0.000841,0.005231,0.002371,-0.004072,0.000243,0.006240,-0.003384,-0.000524,-0.002548,-0.004338,0.003453,-0.000919,0.001172,0.006294,0.001172,0.006294,-0.002528,0.004755,-0.002528,0.004755,0.001761,-0.006459,0.000586,0.007286,-0.000764,-0.007607,-0.003044,-0.005434,0.002918,-0.005922,0.002918,-0.005922,-0.003155,-0.005551,
291,0.000989,-0.000699,-0.000706,0.002550,0.001414,0.001735,0.001414,0.001735,-0.001434,0.002734,-0.000505,-0.003814,0.001797,-0.002252,0.001797,-0.002252,-0.001866,-0.002139,-0.002227,-0.001671,-0.001923,0.002916,-0.002489,0.001230,-0.000636,-0.004962,-0.000636,-0.004962,-0.002156,-0.003565,0.002553,-0.002952,0.002553,-0.002952,-0.000532,-0.006199,-0.000464,-0.006253,-0.002934,-0.003617,-0.002093,-0.005647,0.000597,-0.007002,-0.000645,-0.007062,0.000793,-0.007061,0.000793,-0.007061,-0.002719,0.005530,-0.002719,0.005530,0.000805,0.007453,-0.003355,-0.004446,0.000978,0.007492,
292,-0.000512,0.000482,-0.000512,0.000482,-0.000428,0.001384,-0.000428,0.001384,0.000778,-0.001544,0.000778,-0.001544,-0.001056,0.001641,-0.000641,0.002490,0.001699,0.000382,-0.001665,-0.002175,0.001532,-0.002458,0.001532,-0.002458,0.002017,-0.001290,0.002017,-0.001290,-0.002132,-0.001712,-0.002132,-0.001712,-0.001998,-0.002213,-0.002393,-0.000535,-0.000624,-0.004434,-0.002714,0.000260,-0.002931,-0.000969,0.002810,0.001897,0.000949,-0.005549,0.003032,-0.001973,0.003032,-0.001973,0.002106,0.004533,0.002120,0.004506,-0.002527,-0.004589,0.002146,0.005267,0.002303,0.005071,
